isbn,title,author,year
1619630656,Heir of Fire,Sarah J. Maas,2014
441018521,Magic Bleeds,Ilona Andrews,2010
7201095,Ya-Yas in Bloom,Rebecca Wells,2005
2290032042,Rama II,"Arthur C. Clarke, Gentry Lee",1989
441014348,Cursor's Fury,Jim Butcher,2006
451456718,Daughter of the Blood,Anne Bishop,1998
441014739,Blood Bound,Patricia Briggs,2007
340796170,Five Run Away Together,Enid Blyton,1944
618640150,The Lord of the Rings,J.R.R. Tolkien,1955
689849230,The First Part Last,Angela Johnson,2003
446522597,The Winner,David Baldacci,1997
425152898,Mind Prey,John Sandford,1995
805080511,Taran Wanderer,Lloyd Alexander,1967
62248162,The Prince,Kiera Cass,2013
316012335,Lord Loss,Darren Shan,2005
184756190X,A Girl Like You,Gemma Burgess,2011
545132053,Smile,Raina Telgemeier,2009
60096152,Princess in Training,Meg Cabot,2006
1442402326,Rot & Ruin,Jonathan Maberry,2010
8756787650,Flaskepost fra P,Jussi Adler-Olsen,2009
425193829,Fudge-a-Mania,Judy Blume,1990
373210027,Intertwined,Gena Showalter,2009
140285601,Cat's Cradle,Kurt Vonnegut Jr.,1963
345334310,The Ship Who Sang,Anne McCaffrey,1969
525426035,Grasshopper Jungle,Andrew  Smith,2014
374280967,The Uncommon Reader ,Alan Bennett,2007
61869724,Never Have I Ever ,Sara Shepard,2011
399218858,The Very Quiet Cricket,Eric Carle,1990
803731531,The Looking Glass Wars,Frank Beddor,2004
61043583,Unnatural Death,Dorothy L. Sayers,1927
380800829,The Duke and I,Julia Quinn,2000
439568331,The Haunted Mask,R.L. Stine,1993
62295896,Girl in a Band,Kim Gordon,2015
451462564,Turn Coat,Jim Butcher,2009
385491050,Surfacing,Margaret Atwood,1972
375703845,Glamorama,Bret Easton Ellis,1998
525953183,Influx,Daniel Suarez,2014
60835273,The Beet Queen,Louise Erdrich,1985
038077352X,Dreaming of You ,Lisa Kleypas,1994
451225856,"Lover Enshrined, part two",J.R. Ward,2009
1400069289,The Power of Habit,Charles Duhigg,2011
446400157,A Morbid Taste for Bones,Ellis Peters,1977
345505492,The Emperor's Tomb,Steve Berry,2010
380815923,Blackberry Wine,Joanne Harris,1999
345915623,A Son of the Circus,John Irving,1994
765329581,Article 5,Kristen Simmons,2012
62311077,Natchez Burning,Greg Iles,2014
345447867,The Apprentice,Tess Gerritsen,2002
525950608,Hold Tight,Harlan Coben,2008
1590171993,Stoner,"John  Williams, John McGahern",1965
6498868,The Mad Ship,Robin Hobb,1999
385341970,Broken,Karin Slaughter,2010
385340540,The Broker,John Grisham,2005
312656262,Halo,Alexandra Adornetto,2010
749932945,Envy,Sandra Brown,1999
812474945,The Bean Trees,Barbara Kingsolver,1988
1442445807,The Program,Suzanne Young,2013
1420925431,A Room with a View,E.M. Forster,1908
618346260,The Two Towers,J.R.R. Tolkien,1954
1478314605,Futures and Frosting,Tara Sivec,2012
446577898,The Inner Circle,Brad Meltzer,2011
425184226,The Sum of All Fears,Tom Clancy,1991
